"","Gene 1","Gene 2","T-value"
"153","ENSG00000132424","ENSG00000134884","4.24778673598036"
"154","ENSG00000132530","ENSG00000177409","10.989394133366"
"155","ENSG00000132530","ENSG00000137965","9.6456503686558"
"156","ENSG00000132530","ENSG00000111335","2.78584710731635"
"157","ENSG00000132704","ENSG00000120278","15.3301617479997"
"158","ENSG00000132704","ENSG00000012124","1.47322641582367"
"159","ENSG00000133106","ENSG00000119917","19.4176578852478"
"160","ENSG00000133106","ENSG00000134326","14.0069237765876"
"161","ENSG00000133106","ENSG00000138646","8.78595703600121"
"162","ENSG00000133106","ENSG00000111331","7.33727468044577"
"163","ENSG00000133106","ENSG00000156587","5.1544354099425"
"164","ENSG00000133246","ENSG00000126759","33.4995817447417"
"165","ENSG00000133561","ENSG00000179144","42.0744837808554"
"166","ENSG00000133961","ENSG00000198053","5.30290080824856"
"167","ENSG00000133961","ENSG00000163694","4.58678055251055"
"168","ENSG00000134321","ENSG00000119922","17.3748783830505"
"169","ENSG00000134321","ENSG00000138646","8.73709647297838"
"170","ENSG00000134321","ENSG00000111335","8.66831134959635"
"171","ENSG00000134321","ENSG00000126709","7.51444343633677"
"172","ENSG00000134321","ENSG00000138496","3.87395162607836"
"173","ENSG00000134326","ENSG00000138496","14.577714525376"
"174","ENSG00000134326","ENSG00000133106","14.0069237765876"
"175","ENSG00000134326","ENSG00000138646","5.54591404170356"
"176","ENSG00000134539","ENSG00000150687","19.9303360430506"
"177","ENSG00000134884","ENSG00000132424","4.24778673598036"
"178","ENSG00000135114","ENSG00000185745","52.598183397029"
"179","ENSG00000135114","ENSG00000138646","11.1533642638933"
"180","ENSG00000135114","ENSG00000119917","10.5504511189392"
"181","ENSG00000135114","ENSG00000126709","9.90773008650121"
"182","ENSG00000135114","ENSG00000187608","4.01826893119674"
"183","ENSG00000135148","ENSG00000132109","14.0634926734307"
"184","ENSG00000136100","ENSG00000080819","45.0109786621604"
"185","ENSG00000136573","ENSG00000177455","11.7592881614919"
"186","ENSG00000136573","ENSG00000159958","11.500531696335"
"187","ENSG00000136869","ENSG00000137462","82.4941078785237"
